Test [2272/5000]	Net Time 0.442 (0.601)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2304/5000]	Net Time 0.519 (0.600)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [2336/5000]	Net Time 0.419 (0.597)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2368/5000]	Net Time 0.708 (0.599)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2400/5000]	Net Time 0.511 (0.597)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2432/5000]	Net Time 0.392 (0.595)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2464/5000]	Net Time 0.477 (0.593)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2496/5000]	Net Time 0.401 (0.591)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2528/5000]	Net Time 0.822 (0.594)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2560/5000]	Net Time 1.148 (0.601)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2592/5000]	Net Time 0.483 (0.599)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2624/5000]	Net Time 0.351 (0.596)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2656/5000]	Net Time 0.443 (0.594)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2688/5000]	Net Time 0.389 (0.592)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2720/5000]	Net Time 0.391 (0.589)	Cls Time 0.001 (0.001)	Top1: 46.00
Test [2752/5000]	Net Time 0.383 (0.587)	Cls Time 0.000 (0.001)	Top1: 46.00
Test [2784/5000]	Net Time 0.346 (0.584)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2816/5000]	Net Time 0.324 (0.581)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2848/5000]	Net Time 0.396 (0.579)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [2880/5000]	Net Time 0.356 (0.577)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [2912/5000]	Net Time 0.410 (0.575)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2944/5000]	Net Time 0.749 (0.577)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [2976/5000]	Net Time 0.652 (0.578)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [3008/5000]	Net Time 0.368 (0.575)	Cls Time 0.000 (0.001)	Top1: 45.00
Test [3040/5000]	Net Time 0.474 (0.574)	Cls Time 0.001 (0.001)	Top1: 45.00
Test [3072/5000]	Net Time 0.427 (0.573)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3104/5000]	Net Time 0.424 (0.571)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3136/5000]	Net Time 0.377 (0.569)	Cls Time 0.000 (0.001)	Top1: 44.00
Test [3168/5000]	Net Time 0.421 (0.568)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3200/5000]	Net Time 0.859 (0.571)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3232/5000]	Net Time 0.760 (0.573)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3264/5000]	Net Time 0.450 (0.571)	Cls Time 0.001 (0.001)	Top1: 44.00
Test [3296/5000]	Net Time 0.386 (0.570)	Cls Time 0.001 (0.001)	Top1: 44.00
